행정구역,2024년_거주자_총인구수,2024년_거주자_연령구간인구수,2024년_거주자_0~4세,2024년_거주자_5~9세,2024년_거주자_10~14세,2024년_거주자_15~19세,2024년_거주자_20~24세,2024년_거주자_25~29세,2024년_거주자_30~34세,2024년_거주자_35~39세,2024년_거주자_40~44세,2024년_거주자_45~49세,2024년_거주자_50~54세,2024년_거주자_55~59세,2024년_거주자_60~64세,2024년_거주자_65~69세,2024년_거주자_70~74세,2024년_거주자_75~79세,2024년_거주자_80~84세,2024년_거주자_85~89세,2024년_거주자_90~94세,2024년_거주자_95~99세,2024년_거주자_100세 이상,2024년_남_거주자_총인구수,2024년_남_거주자_연령구간인구수,2024년_남_거주자_0~4세,2024년_남_거주자_5~9세,2024년_남_거주자_10~14세,2024년_남_거주자_15~19세,2024년_남_거주자_20~24세,2024년_남_거주자_25~29세,2024년_남_거주자_30~34세,2024년_남_거주자_35~39세,2024년_남_거주자_40~44세,2024년_남_거주자_45~49세,2024년_남_거주자_50~54세,2024년_남_거주자_55~59세,2024년_남_거주자_60~64세,2024년_남_거주자_65~69세,2024년_남_거주자_70~74세,2024년_남_거주자_75~79세,2024년_남_거주자_80~84세,2024년_남_거주자_85~89세,2024년_남_거주자_90~94세,2024년_남_거주자_95~99세,2024년_남_거주자_100세 이상,2024년_여_거주자_총인구수,2024년_여_거주자_연령구간인구수,2024년_여_거주자_0~4세,2024년_여_거주자_5~9세,2024년_여_거주자_10~14세,2024년_여_거주자_15~19세,2024년_여_거주자_20~24세,2024년_여_거주자_25~29세,2024년_여_거주자_30~34세,2024년_여_거주자_35~39세,2024년_여_거주자_40~44세,2024년_여_거주자_45~49세,2024년_여_거주자_50~54세,2024년_여_거주자_55~59세,2024년_여_거주자_60~64세,2024년_여_거주자_65~69세,2024년_여_거주자_70~74세,2024년_여_거주자_75~79세,2024년_여_거주자_80~84세,2024년_여_거주자_85~89세,2024년_여_거주자_90~94세,2024년_여_거주자_95~99세,2024년_여_거주자_100세 이상
대구광역시  (2700000000),"2,355,509","2,355,509","54,867","87,326","106,977","105,294","124,994","142,569","147,751","133,885","168,489","174,344","207,995","207,671","201,120","172,859","119,335","85,459","64,996","35,390","11,707","2,232",249,"1,154,720","1,154,720","28,153","44,871","54,727","54,504","65,655","74,856","79,244","71,054","83,974","85,927","101,706","100,783","96,990","81,453","54,061","36,830","24,963","11,579","2,971",387,32,"1,200,789","1,200,789","26,714","42,455","52,250","50,790","59,339","67,713","68,507","62,831","84,515","88,417","106,289","106,888","104,130","91,406","65,274","48,629","40,033","23,811","8,736","1,845",217
대구광역시 중구 (2711000000),"97,128","97,128","3,792","4,128","3,630","3,443","5,540","7,873","9,152","7,896","7,763","6,446","7,344","6,314","5,892","5,481","4,124","3,476","2,729","1,489",498,99,19,"46,451","46,451","1,936","2,068","1,802","1,711","2,523","3,639","4,535","4,206","4,056","3,169","3,570","3,083","2,782","2,499","1,744","1,394","1,084",485,136,24,5,"50,677","50,677","1,856","2,060","1,828","1,732","3,017","4,234","4,617","3,690","3,707","3,277","3,774","3,231","3,110","2,982","2,380","2,082","1,645","1,004",362,75,14
대구광역시 동구 (2714000000),"341,009","341,009","8,620","11,978","13,284","12,645","15,708","20,136","23,440","20,752","24,309","23,668","28,020","28,548","29,170","27,226","19,744","14,567","11,131","5,786","1,878",358,41,"166,624","166,624","4,445","6,162","6,831","6,638","8,229","10,384","12,546","11,132","12,544","11,997","13,892","13,734","13,720","12,506","8,835","6,225","4,338","1,918",479,65,4,"174,385","174,385","4,175","5,816","6,453","6,007","7,479","9,752","10,894","9,620","11,765","11,671","14,128","14,814","15,450","14,720","10,909","8,342","6,793","3,868","1,399",293,37
대구광역시 서구 (2717000000),"162,326","162,326","2,899","3,955","4,611","4,815","6,541","9,276","10,544","8,470","9,645","9,868","13,082","15,992","17,507","15,713","11,387","7,944","5,958","3,032",894,172,21,"80,388","80,388","1,539","2,057","2,284","2,437","3,526","4,901","5,935","4,838","5,226","5,239","6,824","7,918","8,588","7,227","5,007","3,397","2,258",964,198,25,0,"81,938","81,938","1,360","1,898","2,327","2,378","3,015","4,375","4,609","3,632","4,419","4,629","6,258","8,074","8,919","8,486","6,380","4,547","3,700","2,068",696,147,21
대구광역시 남구 (2720000000),"135,377","135,377","2,287","2,989","3,729","4,309","7,298","9,512","9,045","7,014","8,303","8,506","11,221","11,498","12,032","11,901","8,936","6,879","5,506","3,098","1,079",210,25,"64,480","64,480","1,192","1,563","1,931","2,229","3,465","4,590","4,824","3,882","4,204","4,178","5,588","5,635","5,599","5,386","3,929","2,804","2,097","1,038",310,33,3,"70,897","70,897","1,095","1,426","1,798","2,080","3,833","4,922","4,221","3,132","4,099","4,328","5,633","5,863","6,433","6,515","5,007","4,075","3,409","2,060",769,177,22
대구광역시 북구 (2723000000),"411,821","411,821","9,020","14,633","18,487","19,478","26,270","27,081","25,242","22,429","28,323","30,968","39,362","37,701","34,795","28,055","18,607","13,430","10,460","5,343","1,754",343,40,"203,888","203,888","4,619","7,498","9,499","9,972","13,813","14,724","13,769","12,082","14,164","15,181","19,182","18,605","16,962","13,519","8,501","5,663","3,897","1,757",423,52,6,"207,933","207,933","4,401","7,135","8,988","9,506","12,457","12,357","11,473","10,347","14,159","15,787","20,180","19,096","17,833","14,536","10,106","7,767","6,563","3,586","1,331",291,34
대구광역시 수성구 (2726000000),"407,797","407,797","8,193","17,055","23,768","23,352","22,877","22,159","21,019","20,389","30,280","33,826","38,830","35,608","31,467","26,882","18,854","13,790","10,695","6,120","2,169",424,40,"196,111","196,111","4,187","8,868","12,232","12,298","12,424","11,565","10,859","10,043","13,782","15,745","18,136","17,066","15,032","12,449","8,429","5,910","4,224","2,151",630,77,4,"211,686","211,686","4,006","8,187","11,536","11,054","10,453","10,594","10,160","10,346","16,498","18,081","20,694","18,542","16,435","14,433","10,425","7,880","6,471","3,969","1,539",347,36
대구광역시 달서구 (2729000000),"520,493","520,493","10,919","18,626","24,266","25,018","29,782","32,751","32,187","28,060","35,933","39,037","47,675","49,033","46,942","37,874","24,831","16,510","11,956","6,625","2,051",380,37,"254,866","254,866","5,622","9,546","12,306","12,844","15,562","17,285","17,543","14,821","17,683","18,911","22,856","23,355","22,557","18,030","11,383","7,297","4,604","2,080",508,67,6,"265,627","265,627","5,297","9,080","11,960","12,174","14,220","15,466","14,644","13,239","18,250","20,126","24,819","25,678","24,385","19,844","13,448","9,213","7,352","4,545","1,543",313,31
대구광역시 달성군 (2771000000),"257,150","257,150","8,905","13,716","14,803","11,784","10,568","13,247","16,544","18,294","23,229","21,071","21,068","20,667","20,318","16,579","10,499","7,051","4,877","2,743",981,183,23,"130,329","130,329","4,481","6,976","7,621","6,123","5,862","7,449","8,879","9,722","11,930","10,944","10,859","10,061","10,110","8,124","5,050","3,258","1,816",832,199,29,4,"126,821","126,821","4,424","6,740","7,182","5,661","4,706","5,798","7,665","8,572","11,299","10,127","10,209","10,606","10,208","8,455","5,449","3,793","3,061","1,911",782,154,19
대구광역시 군위군 (2772000000),"22,408","22,408",232,246,399,450,410,534,578,581,704,954,"1,393","2,310","2,997","3,148","2,353","1,812","1,684","1,154",403,63,3,"11,583","11,583",132,133,221,252,251,319,354,328,385,563,799,"1,326","1,640","1,713","1,183",882,645,354,88,15,0,"10,825","10,825",100,113,178,198,159,215,224,253,319,391,594,984,"1,357","1,435","1,170",930,"1,039",800,315,48,3
