행정구역,2024년_거주자 인구수,2024년_세대수,2024년_세대당 인구,2024년_남자 인구수,2024년_여자 인구수,2024년_남여 비율
대구광역시  (2700000000),"2,355,509","1,097,444",2.15,"1,154,720","1,200,789",0.96
대구광역시 대구광역시 중구 (2711000000),"97,128","48,293",2.01,"46,451","50,677",0.92
대구광역시 대구광역시 동구 (2714000000),"341,009","163,706",2.08,"166,624","174,385",0.96
대구광역시 대구광역시 서구 (2717000000),"162,326","83,566",1.94,"80,388","81,938",0.98
대구광역시 대구광역시 남구 (2720000000),"135,377","74,445",1.82,"64,480","70,897",0.91
대구광역시 대구광역시 북구 (2723000000),"411,821","190,815",2.16,"203,888","207,933",0.98
대구광역시 대구광역시 수성구 (2726000000),"407,797","173,708",2.35,"196,111","211,686",0.93
대구광역시 대구광역시 달서구 (2729000000),"520,493","236,137",2.2,"254,866","265,627",0.96
대구광역시 대구광역시 달성군 (2771000000),"257,150","113,415",2.27,"130,329","126,821",1.03
대구광역시 대구광역시 군위군 (2772000000),"22,408","13,359",1.68,"11,583","10,825",1.07
